"detail.rd.reduceCar";"detail.rd.compCar"
-0.5985;0
-0.3525;0.1242
0;0
0;0
0;0
-0.49;0
0;0
-0.196;0
0;0
0;0
0;0
0;0
-0.735;0
0;0
-0.08;0
-0.396;0
0;0
0;0
-0.637;0
-0.517;0
-1.568;0
-1.458;0
0;0
0;0
0;0.26608
-0.33;0
0;0
0;0
0;0
0;0
-0.234;0.22984
0;0
0;0
-0.2;0.7072
0;0
0;0
-0.2115;0.072
-1.323;0.52668
0;0
-1.7625;0.621
-3.078;1.21248
0;0
0;0
0;0
0;0
-0.245;0
0;0
0;0
-0.147;0
0;0
0;0
0;0
0;0
-0.235;0.08
-0.094;0.032
0;0
0;0.1684
0;0
0;0
-0.539;0
0;0
0;0
-0.735;0
-2.2325;0.33592
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
-0.05;0.08
0;0
-0.392;0.28288
-0.784;0
0;0
-0.049;0
-2.205;0
-0.72;0
-0.05;0.08
-0.3675;0.1242
0;0
0;0
0;0
-1.296;0.58608
0;0
0;0
-0.147;0
-0.34;0.55828
0;0
0;0
-0.882;0.288
-0.324;0
-0.255;0.408
-0.147;0.06736
-0.48;0.92288
-0.27;0.0884
0;0
-0.06;0
-2.205;0.5304
0;0
0;0
0;0
0;0
-0.49;0.16
0;0
-0.022;0.03368
0;0
0;0
-0.3675;0
0;0.52164
0;0
0;0
-0.441;0.144
0;0
-1.128;0.384
0;0
0;0
-0.54;0
0;0
-0.075;0.2652
0;0
-0.686;0
0;0
-0.18;0.1768
0;0
0;0
-0.72;0
0;0
0;0
0;0
-0.094;0.032
-0.98;0.0884
0;0
-0.855;0.24
0;0
-0.48;0.64
0;0
-0.423;0.096
-1.88;0
0;0
-0.6125;0
-0.09;0
-0.225;0.5052
0;0
0;0
-0.105;0.17388
-0.45;0
-0.1715;0.056
-0.294;0
0;0
0;0
-0.588;0.192
0;0
-0.09;0.04
0;0
0;0
-0.833;0
0;0
-0.36;0.16
0;0
0;0
0;0
-0.14;0.24752
0;0
0;0
-0.784;0
0;0
0;0
0;0
0;0
0;0
-0.343;0
0;0
0;0
-0.075;0.12
0;0
-0.57;0
0;0
-0.25;0
-0.6555;0.184
-1.8;0.8336
0;0
0;0
-2.8175;0.92
-0.047;0.008
-0.252;0
0;0
0;0
-0.517;0.18524
0;0
0;0
-0.98;0.32
-0.833;0.272
0;0
0;0
0;0
0;0
-0.16;0.41088
-0.969;0.45084
-0.05;0.08
-0.564;0.192
0;0
-1.715;0.9556
-0.235;0
-1.62;0.5052
0;0
0;0
-0.04;0
0;0
0;0
-0.735;0
0;0
0;0
-0.188;0
-0.4935;0.056
0;0
0;0
0;0
0;0
-0.216;0.096
-0.07;0
0;0
0;0
-1.175;0
0;0
0;0.14144
0;0
0;0
0;0
-0.08;0.14144
0;0
-0.5985;0
0;0.84
