"","alpha_base","gamma_rplc.r.sll","gamma_rdc.nd.cmpnst","gamma_shrt.flghts","gamma_mdm.flghts","gamma_lng.flghts","gamma_dt","gamma_inslt.rf","gamma_inslt.fcd","gamma_rplc.wndws","gamma_vntltn","gamma_ht.pmp","gamma_slr.pnls","gamma_rdc.tmp","gamma_crtfct","gamma_co2.offset","gamma_undercomp.w.offset","asc_rplc.r.sll","asc_rdc.nd.cmpnst","asc_shrt.flghts","asc_mdm.flghts","asc_lng.flghts","asc_dt","asc_inslt.rf","asc_inslt.fcd","asc_rplc.wndws","asc_vntltn","asc_ht.pmp","asc_slr.pnls","asc_rdc.tmp","asc_crtfct","asc_co2.offset","asc_undercomp.w.offset","b_rplc.r.sll_income","b_rdc.nd.cmpnst_income","b_shrt.flghts_income","b_mdm.flghts_income","b_lng.flghts_income","b_dt_income","b_inslt.rf_income","b_inslt.fcd_income","b_rplc.wndws_income","b_vntltn_income","b_ht.pmp_income","b_slr.pnls_income","b_rdc.tmp_income","b_crtfct_income","b_co2.offset_income","b_undercomp.w.offset_income","b_rplc.r.sll_initial","b_rdc.nd.cmpnst_initial","b_shrt.flghts_initial","b_mdm.flghts_initial","b_lng.flghts_initial","b_dt_initial","b_inslt.rf_initial","b_inslt.fcd_initial","b_rplc.wndws_initial","b_vntltn_initial","b_ht.pmp_initial","b_slr.pnls_initial","b_rdc.tmp_initial","b_crtfct_initial","b_co2.offset_initial","b_undercomp.w.offset_initial"
"asc_lng.flghts",1.59988443262616e-11,0.200301999991486,1.78574533979605,0.819913358975279,0.150006485074584,-0.638718656051801,0.791088563162568,0.0183140781776738,0.00431228128962183,0.0276373225152697,0.00835036190685813,0.00957772156338015,0.368685061481273,2.72155962468439,0.0943949452381888,0.00634110047321747,0.0634618955660971,10.3096656508193,16.9082904223299,6.08650868138541,8.91465501151111,-166.810026956158,11.1503995607837,2.07624712133287,1.32064082790755,2.11028917969795,0.910593536379117,3.57907516880571,5.83179069624673,26.2113846103973,11.8321114902483,2.47771907733926,16.3790699540713,110.903032341756,170.602801219656,66.3552385389568,94.2845135171909,-1702.78315789298,113.943185364947,22.3929501281227,13.1062383319299,23.6183269176883,10.8832416811127,43.7118230846996,68.3430389388629,268.008068072041,120.573268257013,25.752691842154,146.895389042576,35.0113688960445,53.9471723360489,21.8864349820509,30.8569856229472,-544.361118700016,34.6576483084142,6.89351340445251,4.37894907396929,6.98820563586696,2.74320300786557,16.0855517799662,18.1469373781831,83.1104692827374,38.2063607801549,7.75765274203599,52.3920479399313
"asc_dt",-1.64333212850931e-10,0.766348506569759,9.17398734087382,1.62363968865232,0.39447834727127,0.0423897542285466,-49.9588418501736,0.0969622402692731,0.0247752950534636,0.143928824075954,0.027208825623237,0.0353024249798248,1.63205286847685,10.4035307987983,0.406343311303466,0.0307091663865425,0.370707251710649,47.3687792287336,71.9632027682888,12.5065679190784,22.5723866861656,11.1503995607837,-675.470540468931,11.3495536243082,7.68474831004426,11.6306466190259,4.34350430071099,13.4436619350857,24.7934141406836,95.707681267102,58.3638125222708,13.1245068513351,76.8373843282886,474.771685567001,690.267358402173,128.855096419081,227.22929883737,113.943185388033,-6461.83799656704,111.655380424174,71.1383156945915,118.603576502367,47.3555302796742,140.705041991059,258.744508869157,909.192469537047,565.306910020372,123.439666107708,662.587595091534,99.2834745650139,147.462082907525,31.6920050993546,55.4131838614452,34.6576480474673,-1418.5044184151,23.428392485435,15.6344765903395,23.4751247375733,7.8425436511012,45.5679235614486,47.8662089478205,190.542186726033,116.521303632486,24.837993043174,155.789090154638
"asc_inslt.rf",-3.49861040336976e-16,0.205352460427187,1.67243993016969,0.218314148098933,0.0467407988991169,0.00684645892816088,0.555369231055444,-2.0124375855184,0.0249407709781185,0.146820457442059,0.0136770858282236,0.0477018253861647,1.33830358453408,1.47614791729683,0.0303708243206648,0.00331068861557354,0.0615916547087637,12.0127537721862,17.5609881294166,2.46612098668566,4.17358109343452,2.07624712133287,11.3495536243082,-224.925560482637,10.4891561039862,15.1316684933481,3.59925806326554,17.1578388806967,23.2841106500121,28.7359677341693,13.3284962170398,2.1648005080296,15.7619993307866,117.343796721296,165.775444167435,27.0682635211752,44.3040489417166,22.3929502497298,111.655380466694,-2134.72391806515,90.7927596077577,145.189012961929,35.6061911102485,163.432554272388,219.428423079889,272.598828199143,129.740002784645,20.3114623116422,137.133823528423,27.5683593709223,38.7554757565167,6.99895530466891,11.6380128281505,6.89351327781886,23.4283925494428,-571.124104531313,26.7554289297143,38.3978544505909,8.87269171563907,67.3145409051061,61.5787805327725,70.8539442221837,28.85625778574,3.68540745939809,34.7409289933634
"asc_inslt.fcd",1.51504574995627e-11,0.131280224445864,1.16948650903818,0.1516657517592,0.0307474158661305,0.0042466240525007,0.387032627770075,0.0766263917491139,-0.544452181803305,0.108186072253755,0.00956125663300245,0.0300200601026192,0.900970384020095,1.027228904878,0.0202894946070954,0.00223482578192293,0.0439316101068851,8.23240699955356,11.9818939222506,1.63493864581258,2.79192141258183,1.32064082790755,7.68474831004426,10.4891561039862,-157.329523758407,10.2170948693017,2.43086037759521,11.8609356091865,15.9266226237441,19.7182665416059,9.1000614809019,1.47128819565218,11.2763901331038,75.9015641587808,105.816356245973,16.3608740806581,27.5032132391949,13.1062384760149,71.138315780448,90.7927601585909,-1402.97581971189,91.6853185923975,22.4952792560858,105.374089971354,140.65269325553,175.116366790118,83.2388518413555,12.9573678787052,92.4286216894264,18.3592497806769,26.1116264499856,4.52597043233116,7.66634838484019,4.3789489599872,15.634476655457,26.7554289558259,-394.707814037987,25.5741885987704,5.92409425198997,46.3150617073061,41.5166323751045,48.0104563685503,19.4292316834724,2.43573654769206,24.7683017739346
"asc_rplc.wndws",2.25408408037592e-13,0.207991189620767,1.69075899032649,0.240269075037229,0.049181145474913,0.00696586032358676,0.590318111197817,0.109040295504434,0.0286856597245333,-2.8534340487708,0.01602771327124,0.0454567887372455,1.37545851162629,1.5326908450906,0.0306671120817079,0.00374878674194749,0.0582143614091229,12.1577233623464,17.7324634466223,2.58880041969572,4.31382258328158,2.11028917969795,11.6306466190259,15.1316684933481,10.2170948693017,-225.749805121098,3.65154707758474,16.7163623896282,22.7885433572708,28.9867941722417,13.6730597366045,2.17902898469805,15.7712702292234,123.95529115819,173.847824057094,29.4503950240817,47.612719784568,23.6183278984859,118.603577000071,145.189013896141,91.6853192316453,-2215.70415480274,37.4864731342524,166.068994635217,222.094451846081,284.249243105881,137.999660712657,21.2552807659939,142.069214133371,27.4724796349122,38.2328991062404,7.20204196324766,11.750492855312,6.98820549348897,23.475124844575,38.397854444198,25.5741886478724,-565.492274248093,8.86199663875465,66.6888041545599,59.3263148201167,70.2472516721382,29.0218280665451,3.59610200197343,34.0169396632582
"asc_vntltn",-1.11311187513817e-11,0.0808820488576587,0.696788248134909,0.0975210003850949,0.0205602565431929,0.00292665572454788,0.261380925012033,0.0298260793273646,0.00743506405492266,0.043994522132786,-0.438652147306671,0.0133992656263866,0.511236698112292,0.611875186410401,0.0161258878327926,0.00154980609303904,0.020606049672343,4.62495926165699,6.47225873009747,0.962317331278174,1.64358864231621,0.910593536379117,4.34350430071099,3.59925806326554,2.43086037759521,3.65154707758474,-79.6330951216628,5.02136618334078,7.73124194708862,10.2842121960547,5.0059640774562,0.841257447737811,5.59743060781528,50.6864189651186,68.0486072901738,11.4967550478742,19.2061700963931,10.8832414468866,47.3555301214869,35.6061908606979,22.495278929244,37.4864727030995,-834.662222824295,53.5508202003424,81.4867882814576,107.602539703972,53.7052885241207,8.76339723999257,53.7170128767922,9.21535904944318,12.3144869241759,2.4883978956237,4.11783028048348,2.74320310540773,7.84254371907963,8.87269174661434,5.92409430812686,8.86199667044421,-178.490689802021,18.8392006918939,17.8152494898837,22.0599790650961,9.49005470634955,1.23847090423244,10.626615712031
"asc_ht.pmp",5.31197862940841e-13,0.210090340387431,1.76430517793125,0.376604818744408,0.0646921156054166,0.00979578393222997,0.537095061912782,0.171030971817738,0.044117372598083,0.232307391153904,0.0172095663241036,-0.825780350484063,2.36788685317459,2.26290858855216,0.0207759106683449,0.00239351196125903,0.0595598043256164,16.7155881244786,21.8913573797397,3.80502064035842,6.58424829370955,3.57907516880571,13.4436619350857,17.1578388806967,11.8609356091865,16.7163623896282,5.02136618334078,-292.006837200461,33.2752790615362,37.6600521623233,16.4524402405964,1.93830953243851,19.2018028982007,182.21305436052,220.955681570063,41.7908377110837,74.6044626423366,43.711823135123,140.705041943498,163.432554855712,105.37408991199,166.068993745002,53.5508204308123,-2948.46635770796,334.833948856315,381.11874058202,171.316207057963,20.3134595929488,173.985213474175,60.1038676231639,76.5669138573883,15.4523501881013,25.476635959996,16.0855517216421,45.5679235643537,67.3145408959736,46.315061645884,66.6888041340407,18.8392006277334,-1092.16351556427,127.329748407716,144.055517186038,58.2596645427598,6.30108010509433,68.1715433385944
"asc_slr.pnls",1.77501259189398e-11,0.383999590637372,3.79657692577793,0.550646092003457,0.109759101582129,0.0169326081394934,1.34530205960555,0.16490041580848,0.0406500109866529,0.259907037239729,0.0355133509393353,0.0828206531052326,-29.2683628032537,3.19871087781952,0.0767804738566044,0.00932409629977766,0.143964264099205,26.4983146792178,36.4327548153916,5.98592591722326,9.64099526842796,5.83179069624673,24.7934141406836,23.2841106500121,15.9266226237441,22.7885433572708,7.73124194708862,33.2752790615362,-432.748492120749,61.2862909804266,28.7860980271982,5.40323837038369,31.6939036199321,276.627217782135,369.967963846056,72.4872171380658,110.491457259527,68.3430391006969,258.74450905653,219.428422677341,140.652693138842,222.094451217203,81.4867882781935,334.833948931821,-4356.71698909788,618.080855936686,297.843486128393,54.0000996089387,294.07477365926,55.8345882142907,76.5315256136518,16.7402089462154,25.5307411428451,18.1469371672747,47.8662089318493,61.5787804672846,41.5166323101148,59.3263147980792,17.8152493926411,127.329748301123,-1039.43701317249,141.856167640913,58.7850397070537,8.44537184698616,65.6277005696779
"asc_rdc.tmp",-1.17484143334305e-15,1.42391782233469,15.3184948356948,2.89514578875331,0.663039894353289,0.0980098365149139,6.27780514563499,0.262920313296936,0.0710051070886587,0.36869119390937,0.0532715021877696,0.111959591593365,4.03268900243424,-122.712766396235,0.587303533110602,0.0527739607145276,0.725766840632559,88.3943157483627,136.360131970238,25.511292386569,43.1996946733091,26.2113846103973,95.707681267102,28.7359677341693,19.7182665416059,28.9867941722417,10.2842121960547,37.6600521623233,61.2862909804266,-1221.32144269024,105.935624867398,23.9383055475394,134.454569310514,863.636386675752,1274.62294620918,252.863479546092,432.257194382507,268.008068646694,909.19246984006,272.598828329101,175.116366818016,284.249241759953,107.602540443939,381.118742201353,618.08085721579,-11440.5628119228,992.959881908462,216.11012436737,1131.84965305454,195.069678802922,287.087861214237,69.9766140786289,111.77081546293,83.1104693494909,190.542186760891,70.8539441665454,48.0104563111782,70.2472516391747,22.0599790360844,144.055517171719,141.856167725665,-2723.04127024894,214.931628985488,45.7374685985426,271.372087733502
"asc_crtfct",2.23077371178493e-13,0.883454360150914,10.3665515574273,1.86067756069032,0.438722629240373,0.0504720097194404,4.62721078073664,0.120459775732768,0.0309614189746541,0.172407935274764,0.0301692309502547,0.0437137656797392,1.93306845694153,11.3115567030742,-4.68471741314911,0.0394012136274358,0.471189642895744,51.9410066864316,79.0983759997398,13.9592589910188,23.7950491993433,11.8321114902483,58.3638125222708,13.3284962170398,9.1000614809019,13.6730597366045,5.0059640774562,16.4524402405964,28.7860980271982,105.935624867398,-739.839545494593,16.2953605674442,82.5798650069594,516.207266283113,750.260771339257,141.728522801391,240.036468200913,120.573268181807,565.306910263023,129.740003308487,83.2388519659385,137.999660145394,53.7052887257823,171.316207435879,297.843486595209,992.959882185764,-7010.23068883928,151.613121926862,703.980443558488,110.952520895182,164.490716934215,35.956345931568,60.0040639168387,38.2063606035488,116.521303726265,28.8562576434986,19.4292315766853,29.0218279355809,9.49005462448954,58.2596644044622,58.7850396118223,214.931628774214,-1586.1097528878,31.4048543843851,168.334927930307
"asc_co2.offset",1.25852868266706e-11,0.129602153589215,2.39214314630221,0.367146154590835,0.0575471931506441,0.00296611787911025,0.883802575708653,0.00987268053168921,0.00173175184182671,0.0170304772693004,0.00259924458786539,6.54776429214265e-06,0.257992236215441,2.45653728592351,0.0340321009562166,-0.393429710129145,0.200179774774281,12.8904273234475,16.9122031339474,3.14639768590332,5.28845474298927,2.47771907733926,13.1245068513351,2.1648005080296,1.47128819565218,2.17902898469805,0.841257447737811,1.93830953243851,5.40323837038369,23.9383055475394,16.2953605674442,-163.694786239016,14.2772615214809,125.468840849767,155.912628409148,32.4117294990783,53.9154466488568,25.7526919859276,123.439666132718,20.311462531378,12.9573678236357,21.2552804645676,8.76339728749785,20.3134596053998,54.00009993476,216.110123829502,151.613121782446,-1510.14819491334,118.021796470476,26.3289233065985,34.9509846459157,8.19922762340606,12.9745537015722,7.75765248409478,24.8379929988079,3.6854073935073,2.43573649096142,3.59610185737527,1.23847075316472,6.30108002947589,8.44537178223006,45.7374684879509,31.4048543058069,-328.370951374811,28.1521447746056
"asc_undercomp.w.offset",1.80017302852453e-11,1.15988303220963,14.3562585683861,2.54577084677638,0.663486060879104,0.0727626866834085,6.70303046062487,0.151562019627171,0.0422059539689671,0.197876085585866,0.0386549067411059,0.0522087800129701,2.23122294963222,16.5585944722593,0.726024538474316,0.0523064289146084,-4.52224992586682,63.210495872422,103.367268039693,17.6316126589869,31.967966065479,16.3790699540713,76.8373843282886,15.7619993307866,11.2763901331038,15.7712702292234,5.59743060781528,19.2018028982007,31.6939036199321,134.454569310514,82.5798650069594,14.2772615214809,-940.636074259154,563.963463646939,884.331439227897,156.551476827146,282.907478445317,146.895389134999,662.587595166607,137.133823603837,92.4286215942787,142.069213441988,53.7170130790678,173.985213457972,294.074774120319,1131.8496527397,703.980443054987,118.021796485914,-8032.86734942094,137.309769500562,218.922893367481,44.5050552261446,80.1534675617603,52.3920488799946,155.789091066299,34.7409297007805,24.768303564368,34.01694082417,10.6266162232611,68.1715447455693,65.627701463283,271.372089226822,168.334929260051,28.1521454176854,-2023.19869072221
