"","alpha_rplc.r.sll","alpha_rdc.nd.cmpnst","alpha_shrt.flghts","alpha_mdm.flghts","alpha_lng.flghts","alpha_dt","alpha_inslt.rf","alpha_inslt.fcd","alpha_rplc.wndws","alpha_vntltn","alpha_ht.pmp","alpha_slr.pnls","alpha_rdc.tmp","alpha_crtfct","alpha_co2.offset","alpha_undercomp","asc_rplc.r.sll","asc_rdc.nd.cmpnst","asc_shrt.flghts","asc_mdm.flghts","asc_lng.flghts","asc_dt","asc_inslt.rf","asc_inslt.fcd","asc_rplc.wndws","asc_vntltn","asc_ht.pmp","asc_slr.pnls","asc_rdc.tmp","asc_crtfct","asc_co2.offset"
"asc_lng.flghts",1.83204804171726,0.0202672822147296,1.00342075655691e-08,2.21099653589618,-16.8023381063111,-7.70488508421917e-17,0.232204787632651,0.118144331480902,0.197800179394386,0.0315581152626182,0.229778148385243,0.662109738882329,2.31225455649409,2.40041586927936,0.112167658408227,0.443201523501011,12.7836007385569,24.3123337638637,7.02727220514518,10.9513499005017,-161.638415313602,16.3790931365619,2.23401172123106,1.51811447621972,2.23383379940198,1.0076332087395,3.92831663086548,6.06581525133553,31.2726457701115,16.2911945376873,3.04909278003599
"asc_dt",7.87092480397719,0.107436705902832,1.77948244124047e-08,6.74728928121697,1.83532281915475,-1.99839217814466e-14,1.41045988037232,0.685545550667095,1.14310451681284,0.120937717575799,1.16747201091511,3.49325008904201,11.2610076287947,12.4529773928802,0.559884221674983,2.84835793000747,61.5540349236677,96.2030351908319,16.0775532134877,31.1419926525521,16.3790931365619,-644.812590713885,13.2319487253639,9.15181644740801,13.4024569006045,5.01250531915664,19.5450181896347,27.1902026948953,122.377478727671,82.1140652025866,17.4705766558421
"asc_inslt.rf",1.9623071373776,0.0164472763354039,4.86981389830786e-09,0.597172040304283,0.206970880906294,-2.34364410226218e-16,-21.8433125361794,0.670196888754126,1.26153940360621,0.0766877712558889,1.20737385983348,2.9846311054074,1.30544989921894,0.68477063243589,0.0495686966784193,0.385370686129354,14.0824020354165,21.438222016047,2.86978226700477,4.99825770235519,2.23401172123106,13.2319487253639,-218.168512364371,13.7252930338665,20.4627433249284,4.73711307335418,19.6384187680039,28.6120544767133,36.6262431879698,15.0089401332611,2.28574018177948
"asc_inslt.fcd",1.29323302662963,0.0118582463128657,-6.28395572910042e-10,0.418802027372313,0.142428851005704,-9.461232760346e-15,1.17504294312334,-10.8054080912123,0.995498875939513,0.0564621969228906,0.801497021800459,2.08781817264928,0.932813487409749,0.459456590198072,0.0346528643710908,0.248037898319996,9.98297301797461,14.4722845468191,2.04716413132019,3.52712243331582,1.51811447621972,9.15181644740801,13.7252930338665,-154.190984461298,13.7562327920168,3.27083686791837,13.6207634335286,19.3051614619753,25.1639703846578,10.4455633683495,1.53489081273478
"asc_rplc.wndws",1.88997232487304,0.0164845656439944,1.77120713908419e-09,0.611357176795041,0.204292805448322,3.00758399722802e-17,1.62974672333791,0.790354062181792,-18.0579841229714,0.0874798737583657,1.16217280373316,3.06849856353763,1.35485421876662,0.677758283034043,0.0530772712994516,0.373800907043502,14.2308704165088,21.5833638525871,2.92536069795437,5.00230831213231,2.23383379940198,13.4024569006045,20.4627433249284,13.7562327920168,-219.120548841477,4.78610490813266,19.5213943705187,27.9947995299035,36.9863329341531,15.3432676901674,2.28747246379783
"asc_vntltn",0.761756870097152,0.00734608426647344,1.54381170091891e-09,0.257036712512727,0.0923271648075592,-2.97546378649771e-17,0.469203449801876,0.217958982920439,0.383336497605777,-1.61440225421519,0.368226920058274,1.25644250315013,0.594745604370135,0.391172867019177,0.0209694679308073,0.153388275015751,5.67637002185335,7.99407118217216,1.08040580707633,1.94856782017781,1.0076332087395,5.01250531915664,4.73711307335418,3.27083686791837,4.78610490813266,-80.0331432899979,6.28716115920059,9.91766845734369,14.1777148067842,5.88340380272366,0.897417774800155
"asc_ht.pmp",2.08587867537621,0.0188511747901588,3.21463529856305e-09,0.7903221093014,0.300319760525527,-2.21591534508373e-16,2.16753889030861,1.12993702399777,1.82688400702364,0.0754837722115379,-16.4853713178612,4.75147260582623,1.63633824591363,0.445330091075734,0.0345890252331617,0.346267871074329,21.9567405454166,32.8765971549186,4.45701208681383,7.85907229228596,3.92831663086548,19.5450181896347,19.6384187680039,13.6207634335286,19.5213943705187,6.28716115920059,-277.215775231991,34.9782484729128,46.2058084615887,20.3925733303758,1.86423284645586
"asc_slr.pnls",3.33976764701446,0.0374992308283838,4.25170450367851e-09,1.28991025636346,0.510372274344342,2.09566145798899e-17,2.17957549758063,1.00682190711016,2.03557322032526,0.179383135730869,1.86768096266674,-49.8377010727761,2.763028009777,1.74373638931666,0.140888649181298,1.01683245553616,30.2246160000913,41.975691170303,6.38051120119292,10.6905464468326,6.06581525133553,27.1902026948953,28.6120544767133,19.3051614619753,27.9947995299035,9.91766845734369,34.9782484729128,-396.558086132,78.3548702019954,31.0698085845806,5.7610084436656
"asc_rdc.tmp",14.5361802807869,0.173122139726167,2.85574284484359e-08,9.81562587639478,3.36153877972284,2.42381319708355e-15,4.10951680742892,2.11147217406593,3.35095619431061,0.263820698355463,3.09913396993084,9.7036582496918,-85.4308683579495,17.092008258197,0.962412293069768,5.17055264623182,110.750730258286,174.305711874171,29.8475296648558,53.3486641765718,31.2726457701115,122.377478727671,36.6262431879698,25.1639703846578,36.9863329341531,14.1777148067842,46.2058084615887,78.3548702019954,-1116.36255486656,139.833800000861,30.1487003304278
"asc_crtfct",9.10152864563391,0.126740966546587,2.37962459043306e-08,7.3176963424302,1.9336726431213,1.22053747345476e-14,1.67010942591707,0.801606151354246,1.31907468768826,0.141881076437673,1.20633963087187,4.11647856840235,12.8395732941732,-88.3433749746961,0.749682545611621,3.47624253244612,67.3473593425695,106.001755966242,17.4959215858727,32.0100003077113,16.2911945376873,82.1140652025866,15.0089401332611,10.4455633683495,15.3432676901674,5.88340380272366,20.3925733303758,31.0698085845806,139.833800000861,-710.29767272761,21.592736468183
"asc_co2.offset",1.27887627944419,0.0278674353409545,3.73280142848676e-09,0.883771164873758,0.137972179635532,2.0500868725064e-15,0.124817473298436,0.0396572151925385,0.110217720623717,0.0102459992475145,0.000425685903114245,0.524179215689051,2.62972496543836,1.10044896259416,-5.21023508650765,1.69040324738024,16.3291360050173,21.7487176000868,3.77508436996915,6.67998368631701,3.04909278003599,17.4705766558421,2.28574018177948,1.53489081273478,2.28747246379783,0.897417774800155,1.86423284645586,5.7610084436656,30.1487003304278,21.592736468183,-160.501782309362
