"","gamma_rplc.r.sll","gamma_rdc.nd.cmpnst","gamma_shrt.flghts","gamma_mdm.flghts","gamma_lng.flghts","gamma_dt","gamma_inslt.rf","gamma_inslt.fcd","gamma_rplc.wndws","gamma_vntltn","gamma_ht.pmp","gamma_slr.pnls","gamma_rdc.tmp","gamma_crtfct","gamma_co2.offset","gamma_undercomp","asc_rplc.r.sll","asc_rdc.nd.cmpnst","asc_shrt.flghts","asc_mdm.flghts","asc_lng.flghts","asc_dt","asc_inslt.rf","asc_inslt.fcd","asc_rplc.wndws","asc_vntltn","asc_ht.pmp","asc_slr.pnls","asc_rdc.tmp","asc_crtfct","asc_co2.offset","b_dt_diet_flexitarian","b_dt_diet_omnivore","b_dt_diet_vegan"
"gamma_ht.pmp",-0.000855341255958132,-2.75054183103359e-05,-2.47468863477874e-05,-0.00020263340311379,-0.000103978786435754,-0.000163906514736332,-0.000512018026686672,-0.000455750058247902,-0.00067492020442392,-0.000153712598388341,-0.000252821165813684,-0.000762638644934528,2.49186822850801e-05,-9.25186628099575e-05,-1.83400487629907e-12,-1.12261921996252e-06,0.0083655502185506,0.0124304607223076,0.00130519071256735,0.00264696726479799,0.00130466107293321,0.0078738111667928,0.00784367373144082,0.00521144017060367,0.00758035917733303,0.00233899831418396,-0.104194688637228,0.0125195720190591,0.0180903456933949,0.00778928837451264,5.42174267613061e-07,0.0011286924832726,0.00642623573699979,2.4130131191814e-20
"gamma_slr.pnls",0.0163085199249238,0.467075451605503,0.0606791661074069,0.00266217395344946,-0.00109239599124251,0.1936693040995,0.00829300018633619,-0.00147215258261669,0.0204336621366881,0.00324038409015872,-0.000762638644934528,-20.4856454305296,0.54453841979192,-0.00361239672961901,-0.00272856894016095,-0.000224278489752758,2.66132478716853,3.7598068438623,0.572596144516896,1.01481844914261,0.437715099197713,2.37126508362106,1.98117051170109,1.37190741454905,2.02905696556551,0.830354239998196,3.13482260296792,-32.9210766931111,6.27661112904302,2.75033153679695,0.346958502382632,0.41701583907312,1.86828072767511,-1.16994162253189e-18
"gamma_rdc.tmp",0.213643175408036,4.85050632850812,0.796779254306905,0.156924604774445,0.00348981733309042,2.624770896823,0.0186001815317394,0.000759284927694494,0.0267363234450216,0.00580929846258259,2.49186822850801e-05,0.54453841979192,-132.277356828822,0.0364813021931861,-0.0109482988921391,-0.000720249203033696,16.3438736043542,25.6178836010321,4.32631204238794,8.44059135081394,4.42060640442743,19.1947740389304,2.60027844154337,1.84445641215926,2.69610920819047,1.18122186361361,3.19795449180226,5.79200924691502,-157.138508324846,23.2012300561097,4.78361069500115,4.48842999335327,13.3415998923834,-1.75817128408463e-16
"gamma_crtfct",-0.0242386466208,0.035516708896737,0.00510473716035213,-0.0140860561316026,-0.00316160778307363,0.00692299510709237,-0.00132324580247257,-0.000655003260567568,-0.00290791027925793,-0.00398060199933559,-9.25186628099575e-05,-0.00361239672961901,0.0364813021931861,-0.222958790308563,-0.00346764059317158,-0.000145166045597913,0.279136533036093,0.492216912536018,0.0799484911480142,0.166608511629887,0.0811010821281003,0.380012022633861,0.0242888512566542,0.016403249259541,0.0237841799994825,0.0139610909624745,0.0155064684467432,0.0648057119709421,0.654837502524828,-3.07766014786908,0.0353482904957831,0.10037373290918,0.240172566207435,1.2263720587114e-18
"gamma_co2.offset",-0.00314874263477468,-0.0083482093192196,-0.00207314413644044,-0.00147455210890183,-0.000144903257512709,-0.00455513015589527,-0.00102554182584946,-0.000378446003768261,-0.000674270773468871,-0.000234802510348484,-1.83400487629907e-12,-0.00272856894016095,-0.0109482988921391,-0.00346764059317158,-0.00851258765144436,4.76313589125361e-14,0.00960118868641599,0.0141653955028449,0.00408958006372497,0.00457722910039578,0.00232015154983285,0.0109709397771106,0.00101552219232887,0.000693220902183581,0.00106361628243902,0.000425087470253594,0.00082964068862805,0.00283534485978798,0.0214517728903317,0.0158197500573431,-0.108831398644376,0.0022520551601962,0.00798708465966411,1.24415554925658e-19
"gamma_undercomp",-0.000333750944772293,-0.000555416573892206,-9.30226373048592e-05,-0.000106209716054127,-2.92609611863214e-05,-0.000347963166609264,-7.84942367270365e-05,-4.23816056925678e-05,-8.94981966556678e-05,-2.71996483020236e-05,-1.12261921996252e-06,-0.000224278489752758,-0.000720249203033696,-0.000145166045597913,4.76313589125361e-14,-3.32621953440057e-06,0.00116354605835745,0.00158742007123701,0.000247092812119007,0.000409981471362732,0.000195398212466768,0.00123022067007901,0.0001641522284518,0.000105771958122452,0.000161162860345481,6.54826449537196e-05,0.000149275148546468,0.000443982503238306,0.00242881369137988,0.00151144510548879,0.000719220524012711,0.000239947331768522,0.000951333691015382,-1.12148775480235e-21
"asc_rplc.r.sll",-10.465956746719,15.7477512104535,1.86889882784884,0.403674116331285,0.0307973316624692,6.43076179730177,0.169954003597159,0.0406560383831189,0.244722109500561,0.0344907802583473,0.0083655502185506,2.66132478716853,16.3438736043542,0.279136533036093,0.00960118868641599,0.00116354605835745,-594.664320351009,96.4798826317158,14.4360487002903,26.129373691006,13.0322200177633,64.1644675769317,14.4171013258531,10.0793599538249,14.5726560439778,5.6185471547695,22.430117429826,31.2161224641734,112.356903484233,65.9819552485313,15.9258851242702,10.6999279420183,51.979130957302,-1.06889560890617e-16
"asc_rdc.nd.cmpnst",2.1967861458743,-134.24375623887,3.31497958566932,0.760774028467799,0.0583019286601789,10.8785331253351,0.219615012994789,0.0628783902178989,0.316644388220648,0.0601521526116079,0.0124304607223076,3.7598068438623,25.6178836010321,0.492216912536018,0.0141653955028449,0.00158742007123701,96.4798826317158,-874.74541080432,24.0006314523394,42.0293184743305,24.0710548422392,96.4983499814414,21.5668791376792,14.593673151457,21.7400752462929,8.06846911855304,32.7921929707401,43.7084631587611,178.883061980593,105.619151122803,21.3937548380142,18.2500478598022,73.9715914601516,-5.2654249825912e-17
"asc_shrt.flghts",0.262861563284436,3.25729373445835,-25.9809527385264,0.247290402094599,0.0147462996840777,1.88476505656479,0.0273523795519979,0.00457293697829172,0.0375122049741445,0.00894840694058646,0.00130519071256735,0.572596144516896,4.32631204238794,0.0799484911480142,0.00408958006372497,0.000247092812119007,14.4360487002903,24.0006314523394,-172.910650062041,14.380069401736,7.25179512493353,16.2619906380621,2.84295060971672,2.02791409637658,2.91301131357044,1.08135453264386,4.34836481673601,6.60194886697521,30.6555377628496,18.0264589744498,3.86854762365592,3.21525649293962,12.4801753772785,2.49843156636351e-17
"asc_mdm.flghts",0.488736617765062,6.35862498988846,2.37465908020111,-5.38849390005131,0.021817674335964,3.31474832147054,0.054680382096218,0.0120788941260818,0.0802491796588541,0.0138325540816849,0.00264696726479799,1.01481844914261,8.44059135081394,0.166608511629887,0.00457722910039578,0.000409981471362732,26.129373691006,42.0293184743305,14.380069401736,-296.486469248823,11.2772018958815,30.8155262859852,4.95658125802384,3.47313042440892,5.0004201671329,1.90706698384188,7.90355599851774,11.0614559222598,54.5858128596211,32.0420499378345,6.59092911129228,6.64191610084505,23.0776407239273,2.48347550404974e-18
