"gamma_rplc.r.sll","gamma_rdc.nd.cmpnst","gamma_shrt.flghts","gamma_mdm.flghts","gamma_lng.flghts","gamma_dt","gamma_inslt.rf","gamma_inslt.fcd","gamma_rplc.wndws","gamma_vntltn","gamma_ht.pmp","gamma_slr.pnls","gamma_rdc.tmp","gamma_crtfct","gamma_co2.offset","gamma_undercomp","asc_rplc.r.sll","asc_rdc.nd.cmpnst","asc_shrt.flghts","asc_mdm.flghts","asc_lng.flghts","asc_dt","asc_inslt.rf","asc_inslt.fcd","asc_rplc.wndws","asc_vntltn","asc_ht.pmp","asc_slr.pnls","asc_rdc.tmp","asc_crtfct","asc_co2.offset","asc_undercomp","logLike"
7.89873249036615,1.45488373908989,2.14664544824622,11.2531046836984,14.6901049266805,1.5481992476709,8.40254867134289,12.7911182426215,6.01949911211115,3.83140940071633,29.478542979014,3.11950353189408,2.28598407165207,18.3661757036748,15.2996495515936,20.0188154795899,-4.65007579888394,-4.44357595242793,-4.65427605527402,-4.75175532226189,-4.94346845788706,-5.1564136690785,-4.84334607837594,-5.27581719541606,-4.86563432148222,-6.38227781321046,-3.89803541595915,-3.8729501713991,-4.09052706755039,-5.0837804515768,-6.00760067404901,-4.62833819737032,-42599.4916832748
7.39213614550716,1.37705346549389,1.85562075817613,6.74726750614945,28.9951798531037,1.59266915806846,9.21717654149784,15.4860154036936,6.50736818108307,4.03965227237387,35.5418251885102,3.27819557436076,2.24346823959355,18.2931691984014,17.7608613406498,22.6831629721756,-4.70540247120824,-4.48082867598939,-4.52484067267502,-4.82506715899791,-5.05292339600462,-5.18656864418086,-4.91241423712188,-5.3484689456961,-4.9036658851481,-6.42760193943624,-3.85172670938957,-3.90735354934701,-4.11867389405362,-5.15873276138751,-6.09820493303159,-4.79453975319135,-42544.9479790768
7.36226693179021,1.32891054807614,1.32877404761609,13.8682624845477,31.3289637577478,1.3685067673739,9.98841150920329,15.0877264801882,6.49553268524485,4.66580148570511,54.5909217290702,3.38710797009585,2.29723978653278,18.6591693817315,14.6220833737507,18.918305083544,-4.70455608358211,-4.49037180969797,-4.47380648670639,-4.89157094568906,-4.86573985316308,-5.18699544061881,-4.89489689298181,-5.32090011510249,-4.88989459799807,-6.40923604362643,-3.85726863092772,-3.89835679630186,-4.1367313700724,-5.11741364049459,-5.98476253070228,-4.80076865768119,-42537.1681292053
7.29056816038141,1.32715129744405,1.96686567743175,11.5720537864994,31.2977010447485,1.51414271103384,9.45217844982047,15.7674638589694,6.73692686004698,4.32510279858791,55.4078988035954,3.41372802035783,2.31985015238437,17.641019644966,16.2689783710027,21.8338756250692,-4.69743360276713,-4.48638471537105,-4.46640937876401,-4.86845243388082,-4.85862865581863,-5.18269550991874,-4.90365337671304,-5.33858049315026,-4.89619776186916,-6.42285884742028,-3.85237727522693,-3.89312079273135,-4.12672463938404,-5.12392802480332,-5.99767792587422,-4.81939861502533,-42519.5350763791
7.28334809769029,1.34678962913434,1.53854137435386,7.86915425383979,32.4564425872121,1.5022959522285,9.76744955098275,15.7575120381879,6.62499468762419,4.37115827022299,62.6782253011064,3.36464208206476,2.27285425164376,18.4667756695732,16.6770255345028,22.0255574273554,-4.69240193414332,-4.4887499712683,-4.47358793832756,-4.81737647227753,-4.87110534727628,-5.18861755150086,-4.91872858973368,-5.36237548454827,-4.90935342553696,-6.43670108452709,-3.85783318145006,-3.8957967748468,-4.13052751616819,-5.13612198752522,-6.00041003193604,-4.85203967708865,-42517.961024189
7.1889597757041,1.31555643999034,2.03558119855509,11.1123308765582,28.1824983097786,1.51230101809779,9.15162515998545,15.6396981893579,6.75733730063948,4.28877444435071,59.8721880005227,3.43105603002905,2.32442346029492,17.097593528855,16.2863512494119,21.9971056238979,-4.69279814843955,-4.48857230612781,-4.46026062604483,-4.79880902577821,-4.8483448401808,-5.18517992418252,-4.92101744039582,-5.3731524321644,-4.91609062790103,-6.44520123186186,-3.86835612294185,-3.89404045267356,-4.12730836285371,-5.12502596276155,-5.98513256479456,-4.85112699554207,-42517.0075645609
7.2453063054002,1.32826447236831,1.84977870211075,9.78230942349083,31.343150930343,1.49545502849371,9.69982083632877,15.6693728382087,6.65676236447193,4.32644647990282,64.9488822386346,3.37476988051165,2.30011175252326,18.0839622506406,16.3270187167839,21.945222016063,-4.68907810884211,-4.48685505413178,-4.4645623890416,-4.79455552718736,-4.84564794827269,-5.18555048521661,-4.92444731990236,-5.37454633214765,-4.91863916595105,-6.44342451224483,-3.86666102543379,-3.89581957809168,-4.12685431173977,-5.12349753491945,-5.97992591212113,-4.85552828716687,-42513.8220785338
7.24978719714241,1.33062605113084,1.81511985156289,9.48653539670971,31.3079751599794,1.50666382764052,9.4748243534268,15.6553373940803,6.69762369107289,4.30077287943066,60.5545879595183,3.3896630030888,2.29546861319434,17.7795970120976,16.3455983093103,22.0182453610562,-4.68831915254075,-4.4865138111266,-4.45785033922298,-4.78483469314306,-4.84805948273288,-5.18502329321491,-4.9309688011258,-5.38154240565017,-4.9227978981545,-6.44661392897738,-3.86962773453898,-3.89707639565726,-4.12565151663541,-5.12388265845084,-5.97757052538689,-4.85887229047192,-42513.4962061454
7.25209868916025,1.33262511946244,1.78463769458814,9.20875682572026,31.3296745390086,1.49975453043217,9.66035887510679,15.7180997222453,6.67844213192374,4.32567343576661,66.702663307744,3.3785006264087,2.28983708007775,17.9007855037924,16.3230815530582,22.0355240793324,-4.68678803910608,-4.4861219752436,-4.44836469614401,-4.7725557024447,-4.84880640781332,-5.18402317436089,-4.93045513026724,-5.3779874583879,-4.9210554387173,-6.44379051235836,-3.86971617849285,-3.89589732189453,-4.1247583538164,-5.12337585625333,-5.97467484809618,-4.86122426043077,-42513.4902556241
7.24923887451417,1.33154039370499,1.7918322415852,9.29533320215283,31.2264572373792,1.50272020941999,9.5483127579079,15.6500075735927,6.68398432793181,4.3080323541193,63.2785971270678,3.38492322658531,2.29193364025646,17.8199842209888,16.3083197144409,22.031359414103,-4.68675933531488,-4.48601124720801,-4.44590191471345,-4.76973534825365,-4.84813406668792,-5.18388422304746,-4.9328059223837,-5.38206089014843,-4.92340655911723,-6.44569153015324,-3.87241246950545,-3.89660297149879,-4.12401168187481,-5.12274693573176,-5.97345071136418,-4.86200971922006,-42513.330456237
