"","alpha_base","gamma_rplc.r.sll","gamma_rdc.nd.cmpnst","gamma_shrt.flghts","gamma_mdm.flghts","gamma_lng.flghts","gamma_dt","gamma_inslt.rf","gamma_inslt.fcd","gamma_rplc.wndws","gamma_vntltn","gamma_ht.pmp","gamma_slr.pnls","gamma_rdc.tmp","gamma_crtfct","gamma_co2.offset","gamma_undercomp","asc_rplc.r.sll","asc_rdc.nd.cmpnst","asc_shrt.flghts","asc_mdm.flghts","asc_lng.flghts","asc_dt","asc_inslt.rf","asc_inslt.fcd","asc_rplc.wndws","asc_vntltn","asc_ht.pmp","asc_slr.pnls","asc_rdc.tmp","asc_crtfct","asc_co2.offset","b_ht.pmp_re_heating_oil","b_ht.pmp_re_heating_electric","b_ht.pmp_re_heating_gas","b_inslt.rf_re_standard_old","b_inslt.fcd_re_standard_old","b_rplc.wndws_re_standard_old","b_vntltn_re_standard_old","b_slr.pnls_re_standard_old","b_rdc.tmp_re_standard_old"
"gamma_vntltn",-1.72681476521248e-17,-0.00260051622194462,0.00551106160070344,0.000543172716099693,-0.000859938163266022,-0.000307874467153345,2.65368458503575e-05,-0.00365597142669329,-0.00179068766536252,-0.00182814248756115,-1.56838633642245,-0.000175596262114568,0.00388031954687166,0.0065647625809122,-0.00393208490310666,-0.000235782633108834,-2.98686789169584e-05,0.0374477550415057,0.0661244449148856,0.00948865397462063,0.0150963211905458,0.0112813619526948,0.0415407058094824,0.0225637153950214,0.01588724251008,0.028417344338935,-0.545223800857647,0.0248088510565716,0.0674403811576476,0.0881963957730503,0.0484575968818174,0.00369148162707449,0.0160355538481152,0.00166358404674142,0.00710971435389697,0.00264562833365277,0.00201369936654553,0.00221195777321787,-0.0240146881957126,0.00115698635531351,0.00525262259909703
"gamma_ht.pmp",1.25205628220035e-20,-0.000969865820873737,4.43549421570883e-05,-6.77659421353074e-06,-0.000230422132806012,-0.000116681736701286,-0.000287879775626785,-0.000564798448615,-0.000510598451524595,-0.000758225162791377,-0.000175596262114568,-0.000344361800863488,-0.000799788263115173,8.11314685101148e-05,-0.000103967406539634,2.58750982237075e-15,-1.2579464685879e-06,0.01019895036832,0.0150852198156493,0.00153632692012434,0.00319509144554959,0.00152986716932607,0.00887503450349361,0.00931373906352627,0.00619280399389386,0.00909366490385773,0.00281110409560943,-0.12537369511488,0.015275926899644,0.0219732200308595,0.00945258664379278,8.47639196038058e-07,-0.0803905365260367,-0.00488962052192583,-0.0400935375466082,0.00355742296263812,0.0025146654149741,0.00286397612099524,0.000359749332530353,0.00302538645158958,0.0046207674482022
"gamma_slr.pnls",-7.59561064838416e-17,0.0173078199743401,0.471270506232842,0.062143250510258,0.00295576331003666,-0.001074183503564,0.162689694332379,0.00829274493955251,-0.00115068341762481,0.0194357914650599,0.00388031954687166,-0.000799788263115173,-20.4938278481075,0.539718047719459,-0.00353403677908029,-0.00272887691051673,-0.00024608783231441,2.68474833868531,3.80659061939928,0.570873868238644,1.04264552364304,0.448855965371396,2.34805274358833,1.93277741853163,1.31439277882803,2.02664233286362,0.853206305336715,3.1100709846776,-33.0169861298567,6.28139840019027,2.79803017163375,0.349071004845788,1.68491831784968,0.217402597697558,1.20775018609062,0.670452584275318,0.460910196082864,0.508205025267509,0.0711456559548245,-5.36682037047289,0.939468248346479
"gamma_rdc.tmp",-3.66598799607895e-17,0.212690598912162,4.76045114602059,0.780286156194138,0.15155111286313,0.00309316799966315,2.18477484375282,0.0187791884725335,0.000829583090211152,0.0258076156942166,0.0065647625809122,8.11314685101148e-05,0.539718047719459,-131.535137300943,0.0291977199234032,-0.0109918190768935,-0.000793689265126444,16.3824032956903,25.4053950067586,4.27536009257802,8.30524847467449,4.37786369926153,20.611820947895,2.52002981089234,1.77726528946112,2.68139241905821,1.19558216668666,3.12015459708043,5.73136594500127,-156.416162154446,22.6816845446201,4.72184548243581,1.42931280939311,0.248052916769049,1.44278902293863,0.837627971995906,0.645269628050514,0.664080543623044,0.0899947318878316,0.771936846719654,-37.4336881814137
"gamma_crtfct",6.03064983094378e-18,-0.0240914643065823,0.0318708613981773,0.00404204765797531,-0.0141332443122238,-0.00314206154909812,-0.00103058174103186,-0.00131746029793205,-0.000657031369607407,-0.00289938029466205,-0.00393208490310666,-0.000103967406539634,-0.00353403677908029,0.0291977199234032,-0.218173709980417,-0.00345776023320209,-0.000159056055809581,0.276534859992683,0.475864418287444,0.076296141984834,0.161455860070394,0.0788769011338343,0.422382459411458,0.0226785714677543,0.0152139754835073,0.0237532344293906,0.0146912756589532,0.0150024930021391,0.0640371541012337,0.628019955028428,-3.01457737280159,0.0331268858879818,0.00608504498423046,0.0010193874625401,0.007898063370229,0.0054581078395211,0.00426315063712139,0.00366695887273534,0.000546382666415536,0.00553640011757543,0.147651000573541
"gamma_co2.offset",1.37426457161839e-18,-0.00314828337584103,-0.00837811824200283,-0.00207383112988754,-0.00147540361993552,-0.000144555875557876,-0.00490845489585051,-0.001033501202413,-0.000382244123645281,-0.000676575272923673,-0.000235782633108834,2.58750982237075e-15,-0.00272887691051673,-0.0109918190768935,-0.00345776023320209,-0.0085906844713068,5.62677534983878e-13,0.0096532915664741,0.0142477233519128,0.0040836883998189,0.00448207111536803,0.00223644876097202,0.0116237275554007,0.000911013105755943,0.000605414199123416,0.00104947540498844,0.000467345332904476,0.000864659724878052,0.00299231233875019,0.0214869375707984,0.0155642285090424,-0.10897708724402,0.000486684145257531,4.02782720434611e-05,0.000337704049831648,0.000138115712050378,9.84017607989428e-05,0.000116748236678681,1.28185742014211e-05,8.03897196838197e-05,0.00588620438654892
"gamma_undercomp",1.41874298455167e-21,-0.000366521902252398,-0.000607747971193475,-0.000102095355333622,-0.000116569867295008,-3.19391563383219e-05,-0.000399791813718486,-8.61908716751201e-05,-4.65498944831536e-05,-9.83619874276696e-05,-2.98686789169584e-05,-1.2579464685879e-06,-0.00024608783231441,-0.000793689265126444,-0.000159056055809581,5.62677534983878e-13,-4.02855815291071e-06,0.00130333307321174,0.0017740827144092,0.000274606281117243,0.000456754263033788,0.000219165798179501,0.00135196577174562,0.000186919117574902,0.00012045410461856,0.000180282171797866,7.40163014521686e-05,0.000165342314303984,0.000497230498709425,0.00270808274366853,0.00165945600993868,0.000787930677369403,8.3655569798807e-05,1.85949471482321e-05,6.30925704546551e-05,8.0334562601608e-05,5.46346524385103e-05,5.84443804512419e-05,6.81805278529284e-06,8.65759447065942e-05,0.000730970200985671
"asc_rplc.r.sll",1.74376662081033e-16,-10.4842245500467,15.7369567926412,1.91035551778512,0.410639701232351,0.0309056343147635,4.8987907473587,0.173900989643351,0.0435163104353485,0.23863345984259,0.0374477550415057,0.01019895036832,2.68474833868531,16.3824032956903,0.276534859992683,0.0096532915664741,0.00130333307321174,-594.810096785451,96.8325942183088,14.619667030889,26.5312190258799,13.1634210860932,61.1074963778548,14.1623349413854,9.81061823881871,14.4901320909684,5.69449621362283,22.5386805294155,31.2249337198664,112.839927805649,66.757154601647,16.1115234385479,13.0048170849773,1.63700224313901,7.89686217982093,5.21196486787607,3.77835384413915,4.24268269780285,0.560929398815655,5.16524624523376,23.6781077843283
"asc_rdc.nd.cmpnst",-5.8033625028492e-16,2.20592546909846,-133.710756583288,3.31909996402315,0.753440020779179,0.0581094996744835,8.57146304089347,0.232187206782856,0.0665925263259053,0.312166514908967,0.0661244449148856,0.0150852198156493,3.80659061939928,25.4053950067586,0.475864418287444,0.0142477233519128,0.0017740827144092,96.8325942183088,-875.806491567692,24.1019456280702,42.3442482138802,24.0012737203442,96.4817488044101,21.1926515183341,14.2975091079371,21.8045117050648,8.25562531522394,32.8141769303172,43.9021342119327,178.904030365225,105.902634847894,21.5902699226621,18.7227509916501,2.13204952966874,11.9593770953644,7.4044709325412,5.42912875025625,5.9260921738227,0.80224605082076,7.58457434860305,37.9055013023423
"asc_shrt.flghts",-3.05347710895428e-17,0.265342916369089,3.2030843857928,-25.9689864308591,0.243932922924837,0.014834696874534,1.47666208398721,0.0278460758661406,0.00496111760822844,0.0361463206122483,0.00948865397462063,0.00153632692012434,0.570873868238644,4.27536009257802,0.076296141984834,0.0040836883998189,0.000274606281117243,14.619667030889,24.1019456280702,-173.18443619591,14.3648314800745,7.24839646102146,16.4722008046924,2.8078191703318,1.97086653371441,2.93875098226813,1.12517151183713,4.24216669086152,6.6054684447735,30.7666685250692,17.9720303336484,3.85366666609735,2.13542388774731,0.315337648687461,1.79140505895926,0.970529414579903,0.702465334506642,0.799128828695782,0.0981007479489374,1.07173951938746,6.29983466642836
"asc_mdm.flghts",-2.66500410003627e-16,0.492550243658387,6.37337779391151,2.3638548318512,-5.35664076750074,0.0216645235607014,2.56894077271596,0.054464113357175,0.0119465428401161,0.0793658125290379,0.0150963211905458,0.00319509144554959,1.04264552364304,8.30524847467449,0.161455860070394,0.00448207111536803,0.000456754263033788,26.5312190258799,42.3442482138802,14.3648314800745,-296.966147297186,11.2953458220792,31.2334988897071,4.67819954357728,3.2472954041363,4.98555026587024,2.02338360327483,7.78090901614568,11.2452008024287,54.4264805045393,31.9916588292412,6.56527269714914,3.66319639494303,0.586072004750885,3.53164073386092,1.24762609989836,0.96554834353019,1.04494954670928,0.137799403630963,1.32501964064205,9.26009816433615
"asc_lng.flghts",-5.5107717068237e-18,0.244385667315564,3.14394968863467,1.22034316396028,0.213652816079508,-0.377960002685152,1.28074400140554,0.0241178443537127,0.00595488085164324,0.0341698278373143,0.0112813619526948,0.00152986716932607,0.448855965371396,4.37786369926153,0.0788769011338343,0.00223644876097202,0.000219165798179501,13.1634210860932,24.0012737203442,7.24839646102146,11.2953458220792,-161.747784848501,16.1134714114075,2.21938510270355,1.507299315106,2.28670628148817,1.05802063793975,3.89924139439843,6.23800006796624,31.5592250917278,16.0363567575123,3.0903391790094,1.944213395371,0.393480627997659,1.5615485411429,0.722968311106932,0.559787325874307,0.567313706424187,0.0751345765475183,0.740078496534464,6.08678101020838
