"alpha_base","gamma_rplc.r.sll","gamma_rdc.nd.cmpnst","gamma_shrt.flghts","gamma_mdm.flghts","gamma_lng.flghts","gamma_dt","gamma_inslt.rf","gamma_inslt.fcd","gamma_rplc.wndws","gamma_vntltn","gamma_ht.pmp","gamma_slr.pnls","gamma_rdc.tmp","gamma_crtfct","gamma_co2.offset","gamma_undercomp.w.offset","asc_rplc.r.sll","asc_rdc.nd.cmpnst","asc_shrt.flghts","asc_mdm.flghts","asc_lng.flghts","asc_dt","asc_inslt.rf","asc_inslt.fcd","asc_rplc.wndws","asc_vntltn","asc_ht.pmp","asc_slr.pnls","asc_rdc.tmp","asc_crtfct","asc_co2.offset","asc_undercomp.w.offset","b_rplc.r.sll_income","b_rdc.nd.cmpnst_income","b_shrt.flghts_income","b_mdm.flghts_income","b_lng.flghts_income","b_dt_income","b_inslt.rf_income","b_inslt.fcd_income","b_rplc.wndws_income","b_vntltn_income","b_ht.pmp_income","b_slr.pnls_income","b_rdc.tmp_income","b_crtfct_income","b_co2.offset_income","b_undercomp.w.offset_income","logLike"
-1.78033151634155,6.20289537133578,1.13769454259771,1.36487242726725,9.57520159426895,23.8999864773427,1.2535422502102,7.04782502634615,12.0925091700752,4.55608966932134,3.25329165330015,47.6599195666892,2.28845908248645,1.78104410458593,17.1198816541768,9.36509431456687,19.6722953359013,-2.97469480183798,-2.77317662072604,-2.85076187499218,-2.92205913478436,-3.0077381809555,-3.63506420969847,-2.98731325937895,-3.10245444598053,-3.07661118250957,-4.61594816312722,-2.18935649430009,-2.23882652302667,-2.53639825826238,-3.24908796127129,-4.17020425642624,-2.40001458621962,-0.113229419058909,-0.132175276083106,-0.123262474464351,-0.133901176169053,-0.126030200570056,-0.117897614963008,-0.141790737752534,-0.179003535295055,-0.135096396570665,-0.143372104064703,-0.106666399118646,-0.118804190411801,-0.121292753458257,-0.128768244895576,-0.155453672700796,-0.186615654516971,-43297.3737183923
-4.01779191886698,9.11324032905047,1.7863254890129,2.44131911517534,11.1412056383204,44.0639484705038,1.95259615098191,9.51414387428868,14.8035052675326,6.53967384534556,4.29332716601925,78.8739155306605,3.54387078732406,2.79675609497661,23.3196577340096,18.486929664089,27.053740850649,-3.99485426929167,-3.61807053914693,-3.725065956394,-3.85450504953402,-4.00666957122266,-4.5630421173104,-3.92828610025115,-3.97260808623784,-3.98356456524471,-5.56821748697463,-3.2122456414831,-3.1099355998101,-3.39860650770809,-4.30845216406866,-5.09383746268676,-3.27466579317996,-0.09912600911,-0.137891957968642,-0.132534893571016,-0.133354420237823,-0.115227084272991,-0.116965583952138,-0.137958413800127,-0.181175664939839,-0.13648993315593,-0.144092526978193,-0.0938025524956273,-0.121767909760825,-0.128015242141834,-0.116126873575818,-0.135987122652493,-0.180625436464023,-43139.06125489
-5.52078979188259,8.19159475331125,1.61707921462509,2.10467775195424,12.7216167286057,30.0524231817144,1.74960788550962,8.87739622984601,14.9226848897587,5.85732715474973,4.58933507309433,89.6159981497219,3.54586378072074,2.65445792021553,17.8523966127121,20.2845986244057,16.0876947706865,-4.16334693349715,-3.57857634586315,-3.59629846909614,-3.83696326737517,-4.05704965397479,-4.50692951097519,-3.90558639973886,-3.89985491165726,-3.91037039090739,-5.52856974620023,-3.39343357518146,-3.11287984194676,-3.36302436816014,-4.45969071584758,-5.1948139697202,-3.41854496242546,-0.0615561933661135,-0.11998662387857,-0.126645000442324,-0.119483184215922,-0.0921897787830258,-0.100995432680841,-0.123516180861137,-0.180007889786366,-0.127987496005415,-0.134021815198113,-0.0545264390091662,-0.0981547615449387,-0.109467572252299,-0.0823980220738352,-0.081670698088142,-0.138501358822258,-42832.2600174954
-6.11569828584645,7.24761445585472,1.50661157933489,2.0795843137657,6.63550468456973,42.6717079675657,1.5922937364766,9.30853357621874,11.5820482193935,6.97963966402066,3.38701295451428,52.6571438591845,3.15983111577303,2.57950068393367,19.3312759477185,16.5591797068602,32.6512796361393,-4.4266848997345,-3.74900645476967,-3.69441509487394,-4.16376365704677,-4.24030611168955,-4.66259885421846,-4.02687296424279,-3.97700214570015,-4.10922884632063,-5.6900762140193,-3.6645654832813,-3.25096784556836,-3.50538908228165,-4.76614534147453,-6.02516627968585,-3.84111508511356,-0.0254335138285754,-0.086459281891482,-0.0933706892860418,-0.0809183141855571,-0.0713827479266987,-0.0681191959376925,-0.110122937019459,-0.163431897651936,-0.0990657577935208,-0.105033622707632,-0.0261744128354618,-0.0727767658202206,-0.0759597338407077,-0.0533516363236921,-0.0277262790234384,-0.114177037628137,-42669.328428176
-6.65740236848774,7.07447840349962,1.3461907707672,1.25799645349131,11.6763594563155,24.3257655207728,1.52033618065159,8.62177900646914,16.4952657818836,6.11911133424887,3.78659558057138,66.2215072956176,3.5656397887061,2.51932190914977,19.8658166580956,19.0043573446827,25.7536046622806,-4.71603350874565,-4.0301544321976,-3.97698305475889,-4.34819316061708,-4.43843693953755,-4.90323779658671,-4.12352133943049,-4.1035551462845,-4.38394078185872,-5.88078317947988,-3.83870038924197,-3.50938791174673,-3.79475092892447,-4.88873549679059,-6.1733719719338,-4.08673892013954,0.00985731687729608,-0.0454964574380247,-0.0442737203032664,-0.0515196662825024,-0.0405851377273408,-0.0230034027455924,-0.0890385146694783,-0.142190976674407,-0.0576749834257687,-0.0609780440737134,-0.00118481380309231,-0.0379736998836812,-0.034776331150954,-0.0226347144501347,0.0236458416872048,-0.0854572542229262,-42537.5493001439
-6.87680445563006,7.03086025075133,1.32932097256713,2.32961923602079,8.81984502652746,40.4400102072001,1.32266449674697,10.6316274623263,15.4373042769235,7.24976771106797,5.09805964390813,87.5158159332248,3.07343596217257,2.36181398253678,16.8786806699477,18.7237340908516,17.3581564171027,-5.06624921831222,-4.39508217012123,-4.46233826885981,-4.65484051484838,-4.78744629795436,-5.30341812932076,-4.44090445771123,-4.35090124277517,-4.76972907061789,-6.35672531424217,-4.08281127299873,-3.81475028856795,-4.1391480698528,-5.1543863034934,-6.4473986954826,-4.37149261660804,0.0394479022657278,-0.0123146269563633,-0.00485012682714966,-0.0145965767452543,-0.00959619853526417,0.0166138378281372,-0.0570666992526831,-0.109380552622228,-0.0191626585622479,-0.0129796031916145,0.0211856276778702,-0.00805027096869865,-0.00317828077479757,0.0068752530537654,0.0517476055110994,-0.0629018618759147,-42509.1621517267
-7.03297354141409,7.27910168037825,1.38425019231578,2.52202567831929,11.2138162693477,48.1286633181039,1.59014547073259,8.95492078017129,15.4273679784859,6.48427395991922,4.63933285716525,55.9519447768224,3.55547838569587,2.60457680327325,16.0234985004692,13.9825134812133,24.6673641806809,-5.17604342167595,-4.57823216898488,-4.62943944975318,-4.83645333023267,-5.00680767157888,-5.52072333879112,-4.64745162076184,-4.65174912444505,-4.93958137398393,-6.70983769986871,-4.2185501328344,-3.99121715343996,-4.26291645444984,-5.33053620395303,-6.4315107941375,-4.51610665894182,0.0628827421930631,0.0170728100598986,0.0310533665381569,0.0186654328788879,0.0291003328007032,0.0464159661962744,-0.0199456904707863,-0.0711769956273951,0.00698116836090911,0.0353650109420572,0.0458282493469685,0.0185232378635703,0.0214577205211281,0.0379211377793781,0.0635544396486469,-0.0314887615237007,-42506.1477521383
-6.82436367499323,7.29851728742965,1.39186691044129,2.08604846491128,7.94959919117114,16.4688093648479,1.58612738534998,9.37676511273599,15.2577624426176,6.5530109313646,4.59015308421099,67.0362185279165,3.57554810219447,2.5807035684816,18.5075976987722,16.2256060058968,22.6036821778354,-5.20979979663671,-4.57360069292593,-4.63347078014521,-4.87261137620878,-5.08254589529532,-5.51581845268066,-4.74202914869552,-4.71569878355734,-5.00395771052195,-6.6909938315882,-4.27426306074471,-4.02518270469979,-4.28383923662951,-5.41407999110097,-6.45158640859664,-4.47159941114537,0.05636632822723,0.00710796083108386,0.0171020809934914,0.0108880961827369,0.0203635256475551,0.0364988427166422,-0.0187545340154923,-0.0712246304929986,0.00702658780477042,0.0233625881559311,0.0414356688594079,0.0132089220940879,0.013734172594649,0.0317609937291662,0.0530554131256379,-0.0483638091361231,-42490.8354285573
-6.82169397005503,7.05349759664439,1.37873099198977,1.57986784232584,9.81642781150654,33.4503394923333,1.53151565953287,10.2185153737951,14.0474691088028,7.47288135939004,4.13265516725992,58.2420636186641,3.17816983436012,2.53797937062982,16.8843283786597,15.9041602234968,21.6991033874932,-5.11456829386697,-4.48719634489717,-4.55228724973538,-4.80724646016114,-5.13902678897062,-5.42175480381352,-4.68346725276274,-4.68343466062956,-4.97700081429557,-6.69316219742834,-4.16929518896024,-3.97276727299289,-4.22394235742373,-5.29221136575262,-6.2704402225266,-4.28217403279209,0.0463045525162489,-0.00108246764606909,0.0109343183292653,0.00400185172532083,0.0116690393533066,0.0273635402654641,-0.0276350800373217,-0.0723020901009037,0.00568606064163546,0.0238400265929663,0.0324251591004763,0.00869513791434032,0.00869924769023078,0.0190099719936947,0.0378417396331483,-0.0659406693472888,-42477.5353309849
-6.81877480986569,7.14525111755256,1.3710759070544,1.83742186395994,9.11295463248552,36.2779079656744,1.43296172335948,8.88657299278232,17.0655568524445,5.77409909598502,4.45431902315155,63.710413300003,3.52397321483321,2.44242835602281,18.1776184309831,16.4786116203442,22.1996195240348,-5.11106942404911,-4.48653166730505,-4.54374808111029,-4.80363555142686,-5.04026502577442,-5.42194089785565,-4.68149428144904,-4.70171216029948,-4.98049363336466,-6.69335599206121,-4.17551343909384,-3.97936526039778,-4.22617001513257,-5.28545913321834,-6.29996337265256,-4.27659362469599,0.0464732639189039,-0.000789060987124779,0.0116460060762544,0.00423741684230651,0.0175018711520808,0.0274882734157787,-0.0253078394895703,-0.0720172980406218,0.00583315878737037,0.0245578137532337,0.0330125114631906,0.00911717465658043,0.00809184660247198,0.0204782574269102,0.0402834932745563,-0.0650637161256893,-42473.8796263949
