"","alpha_base","gamma_rplc.r.sll","gamma_rdc.nd.cmpnst","gamma_shrt.flghts","gamma_mdm.flghts","gamma_lng.flghts","gamma_dt","gamma_inslt.rf","gamma_inslt.fcd","gamma_rplc.wndws","gamma_vntltn","gamma_ht.pmp","gamma_slr.pnls","gamma_rdc.tmp","gamma_crtfct","gamma_co2.offset","gamma_undercomp.w.offset","asc_rplc.r.sll","asc_rdc.nd.cmpnst","asc_shrt.flghts","asc_mdm.flghts","asc_lng.flghts","asc_dt","asc_inslt.rf","asc_inslt.fcd","asc_rplc.wndws","asc_vntltn","asc_ht.pmp","asc_slr.pnls","asc_rdc.tmp","asc_crtfct","asc_co2.offset","asc_undercomp.w.offset"
"asc_mdm.flghts",-4.74851536908489e-15,0.37457623872224,3.75528792304956,1.51051590742059,-5.11195310804657,0.0279231962135648,1.57463651099867,0.0408050369200632,0.00882765234880621,0.0585523017160774,0.00949479165704139,0.0158984274056731,0.732634310284311,4.36789815612509,0.173040651288128,0.0121251045661107,0.128278080981393,20.8067806739234,32.2080047713395,11.5358108329813,-308.619691419935,8.84308816315502,23.1080238001068,4.23193404274277,2.9635985002093,4.25292201542342,1.58379386979756,6.73252063145527,9.41813868252549,41.652966802649,23.7604175314498,5.21043542844589,33.0083633501898
"asc_lng.flghts",2.25296535224702e-13,0.190763370228683,1.89270698524707,0.799347649735462,0.1491810312856,-0.637187326408109,0.82026139540057,0.0171645286577844,0.00461131692498512,0.0253723337819,0.00721402123965344,0.00895831196654107,0.327348793434373,2.29373751264042,0.093654776446737,0.00631637804270192,0.0625624228659892,10.4305924914152,18.2289414315295,5.94702806588234,8.84308816315502,-167.089606121423,12.1944788454374,2.04314960302011,1.37769521085609,2.03417550888025,0.85758869404752,3.60707600077485,5.41941540536693,23.7543097751141,12.1075252966174,2.56052087061628,17.0343477385846
"asc_dt",-6.56819516812754e-15,0.727381570376892,8.83652942447746,1.68263372277602,0.407091019230804,0.0472452542971351,-48.0884072469103,0.0989992118515446,0.0248338689926653,0.13908577294659,0.0244354826946256,0.0391262744050251,1.57151954678035,10.09972825796,0.394275306955245,0.0283582706964078,0.342042287687261,47.0548656670438,71.5892146648504,12.8853962903435,23.1080238001068,12.1944788454374,-677.539506959409,11.4631776081698,7.87450935018648,11.539312550021,4.09907214972381,16.0338076411912,24.3345124094515,95.0043306388287,57.6717136806136,13.0362939324839,77.4297362808866
"asc_inslt.rf",2.22326252979523e-13,0.203485027665361,1.66669578782181,0.226355057728521,0.0481432582971243,0.00664252175978921,0.544536779349776,-1.9546249800137,0.0233393999742103,0.149754938028853,0.0148630360453923,0.037831521899769,1.25868169139995,1.48459253914383,0.0310379587990843,0.00317571269433477,0.0581298602549395,12.1775146260593,17.9320411759068,2.51186667578343,4.23193404274277,2.04314960302011,11.4631776081698,-224.778580433931,10.5281496193233,15.4882718366098,3.67333596483593,14.8762693375942,23.1511846274203,28.843067150052,13.5574539966925,2.18230784293644,16.4573419675925
"asc_inslt.fcd",-3.56909670020017e-15,0.136026016254723,1.17963474239379,0.171766219582328,0.0332857805088739,0.00446143687996195,0.389493473870098,0.0761093711752088,-0.50707627013406,0.114138434265751,0.0108485995164452,0.0251906606970128,0.873385384857302,1.04968411150341,0.021083093854976,0.00220299420053101,0.0380269076012636,8.44958667252592,12.1821285772419,1.75845783465551,2.9635985002093,1.37769521085609,7.87450935018648,10.5281496193233,-157.60518243253,10.4799676941339,2.51928943744949,10.4008698252852,15.7389911225138,19.7455661340112,9.35183285110439,1.46395694795332,11.4197677377191
"asc_rplc.wndws",2.55062036051586e-15,0.197054734381586,1.6569270261481,0.234301184674825,0.0486764813029437,0.00653243045171544,0.559310809532223,0.109039962861882,0.0275572818487477,-2.7841018788532,0.0164838370457172,0.0363020485161577,1.28364237133778,1.51444768191524,0.0300031308613917,0.00333677554685641,0.0566312328368947,12.1797750711054,18.0025109784229,2.53854528849722,4.25292201542342,2.03417550888025,11.539312550021,15.4882718366098,10.4799676941339,-225.507451658202,3.68437869586797,14.8228497265797,22.7679575814855,29.0547980758302,13.7277009026711,2.16700588970118,16.6725693346027
"asc_vntltn",6.30958593507168e-16,0.0729414250601318,0.662269384136109,0.0907266437330642,0.0197640345325288,0.00266454488784046,0.232535793632912,0.0299915626557387,0.00727403214383318,0.0428132818728694,-0.428594480118858,0.0112637447056577,0.503814973150334,0.621058470871446,0.0149414709586456,0.00131307940334451,0.0210681164866633,4.4459408992875,6.4007883948534,0.925020538104528,1.58379386979756,0.85758869404752,4.09907214972381,3.67333596483593,2.51928943744949,3.68437869586797,-79.6210972378723,4.68914884033693,7.8928371640708,10.4666371281427,4.88811319561344,0.790111783759786,6.10760187688624
"asc_ht.pmp",9.06771015266056e-16,0.217006181202009,2.04674245628848,0.355837242187915,0.0643180883563254,0.00949345470854361,0.624097658073067,0.136390431199251,0.0353420721432422,0.200487929319043,0.014958053736557,-0.770154407729568,1.90906401619042,1.98558513818872,0.0222055754794486,0.00286366502336216,0.0641872270636973,18.0099448587395,25.7582034107608,3.77130454261334,6.73252063145527,3.60707600077485,16.0338076411912,14.8762693375942,10.4008698252852,14.8228497265797,4.68914884033693,-292.431881640495,28.7952156595973,33.7709395995667,17.9789331523124,2.22911831937233,21.4110398028825
"asc_slr.pnls",-3.83813748649628e-15,0.355525073541733,3.74504667224554,0.52633427805405,0.106472509950084,0.0153995654221522,1.25431939750865,0.154061738989302,0.0364072242204698,0.247493611952848,0.0372391846652039,0.0643208646741002,-28.2985827520126,3.25811550760878,0.076976369504395,0.00884355165306619,0.146112514176645,26.342959122858,36.8198314039332,5.75658409303776,9.41813868252549,5.41941540536693,24.3345124094515,23.1511846274203,15.7389911225138,22.7679575814855,7.8928371640708,28.7952156595973,-431.880094593096,62.6478973203657,28.8564722014339,5.341798660724,34.4455484245493
"asc_rdc.tmp",1.2504195430191e-14,1.35220533446224,14.8799047621531,2.7534924440965,0.638656539884359,0.0864115282105783,6.03656784243017,0.255082586273011,0.0659147487891091,0.356365714681117,0.0512804620169796,0.0927591511264902,3.9523425576283,-117.734135776593,0.58335615477007,0.0512670776831011,0.654712284125155,87.7842511198515,134.5409796875,24.5021463959209,41.652966802649,23.7543097751141,95.0043306388287,28.843067150052,19.7455661340112,29.0547980758302,10.4666371281427,33.7709395995667,62.6478973203657,-1216.406495912,106.694371127491,24.3219403008756,136.339285136551
"asc_crtfct",-1.17993580331987e-14,0.834187918856775,9.95877835017554,1.88255704029701,0.438020850731998,0.0517225066228405,4.35960984615599,0.123436078971715,0.0307610749770173,0.169172114316575,0.0281494201877381,0.0439925955046731,1.89660972435851,10.9544093518779,-4.61151562172895,0.0367479834676613,0.431071351186345,51.4893779130769,78.2176345721255,14.0865694614545,23.7604175314498,12.1075252966174,57.6717136806136,13.5574539966925,9.35183285110439,13.7277009026711,4.88811319561344,17.9789331523124,28.8564722014339,106.694371127491,-740.554019383827,16.2884030544723,82.7501337019917
"asc_co2.offset",1.22264272476388e-16,0.127865851484803,2.27918211360554,0.368414704478384,0.0543509319396255,0.0034448964972934,0.86018896288886,0.00988689384296443,0.00171605191840233,0.0155249055435407,0.00245458601363582,7.15274288533319e-06,0.253071278443688,2.40865424699169,0.0346752255832535,-0.374667393596435,0.189691257113205,12.8031843121901,16.8835902874244,3.15061884925204,5.21043542844589,2.56052087061628,13.0362939324839,2.18230784293644,1.46395694795332,2.16700588970118,0.790111783759786,2.22911831937233,5.341798660724,24.3219403008756,16.2884030544723,-163.890587581911,14.1361820010563
"asc_undercomp.w.offset",5.6480194027994e-15,1.17917644999014,13.9825903644914,2.62191316342958,0.671276920273735,0.0741010446638106,6.63638241320835,0.157358751975311,0.0387705373175781,0.214939994592924,0.0427323511141875,0.0569367593521856,2.44267948310392,16.0454846853286,0.72936479045112,0.0519739857587224,-4.13040750444945,64.9211560523887,103.22304582324,18.4279758840754,33.0083633501898,17.0343477385846,77.4297362808866,16.4573419675925,11.4197677377191,16.6725693346027,6.10760187688624,21.4110398028825,34.4455484245493,136.339285136551,82.7501337019917,14.1361820010563,-950.763584524517
